DATE,ROID,ID,MSNAME,MSISO,N_RETURNEES,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB,OPTYPE,NOTES_COMMENTS,N_ESC_POOL,N_MONITORS_POOL
2013-09-24,2013/ROS/28,2013_25,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,794.42,JRO,NA,NA,NA
2013-09-24,2013/ROS/28,2013_25,Germany,DEU,51,33,NA,NA,NA,NA,NA,71687.13,JRO,NA,NA,NA
2013-09-24,2013/ROS/28,2013_25,Iceland,ISL,1,2,NA,NA,NA,NA,NA,3057.84,JRO,NA,NA,NA
2013-09-24,2013/ROS/28,2013_25,Spain,ESP,3,6,NA,NA,NA,NA,NA,1860.57,JRO,NA,NA,NA
2013-09-24,2013/ROS/28,2013_25,Sweden,SWE,24,18,NA,NA,NA,NA,NA,31569.84,JRO,NA,NA,NA
2013-10-08,2013/ROS/29,2013_26,Bulgaria,BGR,1,3,NA,NA,NA,NA,NA,1378.83,JRO,NA,NA,NA
2013-10-08,2013/ROS/29,2013_26,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,923.98,JRO,NA,NA,NA
2013-10-08,2013/ROS/29,2013_26,Italy,ITA,3,8,NA,NA,NA,NA,NA,7357.81,JRO,NA,NA,NA
2013-10-08,2013/ROS/29,2013_26,Spain,ESP,82,127,NA,NA,NA,NA,NA,307760.56,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,Austria,AUT,18,16,NA,NA,NA,NA,1,2197.95,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,Finland,FIN,2,5,NA,NA,NA,NA,NA,3673.08,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,France,FRA,4,9,NA,NA,NA,NA,NA,NA,JRO,"Final deadline past 21 January 2014, rejected",NA,NA
2013-10-08,2013/ROS/30,2013_27,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1983.07,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,Germany,DEU,11,11,NA,NA,NA,NA,NA,43848.96,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,Hungary,HUN,18,15,NA,NA,NA,NA,NA,1259.27,JRO,Stopover,NA,NA
2013-10-08,2013/ROS/30,2013_27,Norway,NOR,3,8,NA,NA,NA,NA,NA,3804.03,JRO,NA,NA,NA
2013-10-08,2013/ROS/30,2013_27,Sweden,SWE,19,33,NA,NA,NA,NA,NA,98342.24,JRO,NA,NA,NA
2013-10-17,2013/ROS/32,2013_28,Bulgaria,BGR,2,5,NA,NA,NA,NA,NA,2591.12,JRO,NA,NA,NA
2013-10-17,2013/ROS/32,2013_28,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,2400.09,JRO,NA,NA,NA
2013-10-17,2013/ROS/32,2013_28,Germany,DEU,1,3,NA,NA,NA,NA,NA,9231.63,JRO,NA,NA,NA
2013-10-17,2013/ROS/32,2013_28,Greece,GRC,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-10-17,2013/ROS/32,2013_28,Netherlands,NLD,5,32,NA,NA,NA,NA,1,160089,JRO,NA,NA,NA
2013-10-17,2013/ROS/32,2013_28,Slovenia,SVN,1,3,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-10-17,2013/ROS/32,2013_28,Spain,ESP,9,21,NA,NA,NA,NA,NA,NA,JRO,Stopover,NA,NA
2013-10-29,2013/ROS/34,2013_29,Belgium,BEL,4,10,NA,NA,NA,NA,NA,NA,JRO,No cofinancing,NA,NA
2013-10-29,2013/ROS/34,2013_29,Croatia,HRV,NA,1,NA,NA,NA,NA,NA,972.25,JRO,Observer,NA,NA
2013-10-29,2013/ROS/34,2013_29,France,FRA,23,61,NA,NA,NA,NA,NA,77045.41,JRO,NA,NA,NA
2013-10-29,2013/ROS/34,2013_29,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,610.7,JRO,NA,NA,NA
2013-10-29,2013/ROS/34,2013_29,Iceland,ISL,17,12,NA,NA,NA,NA,NA,3549.72,JRO,NA,NA,NA
2013-10-29,2013/ROS/34,2013_29,Italy,ITA,5,11,NA,NA,NA,NA,NA,NA,JRO,Stopover,NA,NA
2013-10-29,2013/ROS/34,2013_29,Netherlands,NLD,1,3,NA,NA,NA,NA,NA,1315.49,JRO,NA,NA,NA
2013-10-29,2013/ROS/34,2013_29,Spain,ESP,2,5,NA,NA,NA,NA,NA,4867.2,JRO,NA,NA,NA
2013-10-29,2013/ROS/34,2013_29,Sweden,SWE,10,18,NA,NA,NA,NA,NA,86308.86,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Austria,AUT,7,31,NA,NA,NA,NA,1,226739.43,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Bulgaria,BGR,2,5,NA,NA,NA,NA,NA,1604.81,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Finland,FIN,6,13,NA,NA,NA,NA,NA,71853.45,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1155.17,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Germany,DEU,6,20,NA,NA,NA,NA,NA,6618.23,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Greece,GRC,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2013-01-30,2012/ROS/43,2013_3,Hungary,HUN,2,6,NA,NA,NA,NA,NA,145.7,JRO,NA,NA,NA
2013-11-19,2013/ROS/31,2013_30,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,968.24,JRO,NA,NA,NA
2013-11-19,2013/ROS/31,2013_30,Germany,DEU,62,39,NA,NA,NA,NA,NA,48847.79,JRO,NA,NA,NA
2013-11-19,2013/ROS/31,2013_30,Sweden,SWE,15,19,NA,NA,NA,NA,NA,27102.2,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Austria,AUT,9,36,NA,NA,NA,NA,NA,275845.35,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Bulgaria,BGR,4,9,NA,NA,NA,NA,NA,4007.87,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Denmark,DNK,1,2,NA,NA,NA,NA,NA,499.44,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,612.72,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Germany,DEU,2,6,NA,NA,NA,NA,NA,22195.31,JRO,NA,NA,NA
2013-11-20,2013/ROS/36,2013_31,Greece,GRC,15,34,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-11-22,2013/ROS/37,2013_32,Belgium,BEL,4,9,NA,NA,NA,NA,2,NA,JRO,No cofinancing,NA,NA
2013-11-22,2013/ROS/37,2013_32,Bulgaria,BGR,2,5,NA,NA,NA,NA,NA,2114.21,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,European Commission,NA,NA,1,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Finland,FIN,2,6,NA,NA,NA,NA,NA,3725.62,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,France,FRA,2,5,NA,NA,NA,NA,NA,8164.32,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,883.87,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Germany,DEU,1,3,NA,NA,NA,NA,NA,3011.77,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Greece,GRC,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Hungary,HUN,3,8,NA,NA,NA,NA,NA,4430.44,JRO,Stopover,NA,NA
2013-11-22,2013/ROS/37,2013_32,Norway,NOR,7,15,NA,NA,NA,NA,NA,42393.29,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Poland,POL,1,3,NA,NA,NA,NA,NA,1244.44,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Romania,ROU,2,5,NA,NA,NA,NA,NA,2152.37,JRO,NA,NA,NA
2013-11-22,2013/ROS/37,2013_32,Spain,ESP,19,44,NA,NA,NA,NA,NA,413100,JRO,NA,NA,NA
2013-11-28,2013/ROS/35,2013_33,Hungary,HUN,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Cancelled,NA,NA
2013-11-28,2013/ROS/35,2013_33,Italy,ITA,43,113,NA,NA,NA,NA,NA,203147.91,JRO,NA,NA,NA
2013-11-28,2013/ROS/35,2013_33,Portugal,PRT,1,3,NA,NA,NA,NA,NA,1044.99,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,France,FRA,5,11,NA,NA,NA,NA,NA,11826.23,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,843,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Germany,DEU,1,3,NA,NA,NA,NA,NA,1147.86,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Greece,GRC,1,3,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-11-29,2013/ROS/38,2013_34,Portugal,PRT,2,4,NA,NA,NA,NA,NA,2102.33,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Spain,ESP,28,55,NA,NA,NA,NA,NA,213103.16,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Sweden,SWE,2,5,NA,NA,NA,NA,NA,28397.4,JRO,NA,NA,NA
2013-11-29,2013/ROS/38,2013_34,Switzerland,CHE,2,5,NA,NA,NA,NA,NA,1332.83,JRO,NA,NA,NA
2013-12-03,2013/ROS/39,2013_35,Germany,DEU,8,1,NA,NA,NA,NA,NA,85589.99,JRO,NA,NA,NA
2013-12-03,2013/ROS/40,2013_35,Poland,POL,11,1,NA,NA,NA,NA,NA,590.02,JRO,Stopover,NA,NA
2013-12-03,2013/ROS/41,2013_35,France,FRA,4,1,NA,NA,NA,NA,NA,3457.93,JRO,NA,NA,NA
2013-12-03,2013/ROS/42,2013_35,Greece,GRC,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2013-12-03,2013/ROS/43,2013_35,Norway,NOR,1,1,NA,NA,NA,NA,NA,1389.71,JRO,NA,NA,NA
2013-12-03,2013/ROS/44,2013_35,Bulgaria,BGR,2,NA,NA,NA,NA,NA,NA,2260.85,JRO,NA,NA,NA
2013-12-03,2013/ROS/45,2013_35,Switzerland,CHE,3,1,NA,NA,NA,NA,1,16726.34,JRO,NA,NA,NA
2013-12-03,2013/ROS/46,2013_35,Austria,AUT,NA,NA,NA,NA,NA,NA,1,1615.07,JRO,Monitor,NA,NA
2013-12-03,2013/ROS/47,2013_35,Italy,ITA,NA,1,NA,NA,NA,NA,NA,975.69,JRO,Observer,NA,NA
2013-12-03,2013/ROS/48,2013_35,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,905.58,JRO,NA,NA,NA
2013-12-04,2013/ROS/41,2013_36,Belgium,BEL,21,61,NA,NA,NA,NA,2,NA,JRO,Return Fund,NA,NA
2013-12-04,2013/ROS/41,2013_36,Germany,DEU,2,6,NA,NA,NA,NA,NA,6025.11,JRO,NA,NA,NA
2013-12-11,2013/ROS/40,2013_37,Italy,ITA,2,5,NA,NA,NA,NA,NA,4981.68,JRO,NA,NA,NA
2013-12-11,2013/ROS/40,2013_37,Spain,ESP,91,142,NA,NA,NA,NA,2,282070.24,JRO,NA,NA,NA
2013-12-12,2013/ROS/42,2013_38,Belgium,BEL,1,3,NA,NA,NA,NA,NA,NA,JRO,No cofinancing,NA,NA
2013-12-12,2013/ROS/42,2013_38,France,FRA,15,31,NA,NA,NA,NA,NA,1068.26,JRO,NA,NA,NA
2013-12-12,2013/ROS/42,2013_38,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1111.95,JRO,NA,NA,NA
2013-12-12,2013/ROS/42,2013_38,Iceland,ISL,21,34,NA,NA,NA,NA,1,107809.7,JRO,NA,NA,NA
2013-02-07,2012/ROS/48,2013_4,Bulgaria,BGR,2,5,NA,NA,NA,NA,NA,1243.1,JRO,NA,NA,NA
2013-02-07,2012/ROS/48,2013_4,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1364.85,JRO,NA,NA,NA
2013-02-07,2012/ROS/48,2013_4,Greece,GRC,3,6,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-02-07,2012/ROS/48,2013_4,Italy,ITA,33,86,NA,NA,NA,NA,NA,201085.87,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,France,FRA,2,5,NA,NA,NA,NA,NA,1680.06,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1066.55,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Germany,DEU,4,12,NA,NA,NA,NA,NA,12454.06,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Greece,GRC,2,5,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-02-13,2012/ROS/44,2013_5,Hungary,HUN,1,4,NA,NA,NA,NA,NA,210.2,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Ireland,IRL,7,16,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-02-13,2012/ROS/44,2013_5,Italy,ITA,6,13,NA,NA,NA,NA,NA,12312.09,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Poland,POL,10,13,NA,NA,NA,NA,NA,6545.97,JRO,NA,NA,NA
2013-02-13,2012/ROS/44,2013_5,Spain,ESP,22,40,NA,NA,NA,NA,NA,216329.84,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Bulgaria,BGR,2,5,NA,NA,NA,NA,NA,3696.44,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1050.39,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Germany,DEU,4,13,NA,NA,NA,NA,NA,28163.7,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Norway,NOR,25,67,NA,NA,NA,NA,NA,229591.22,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Spain,ESP,9,21,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2013-02-14,2012/ROS/45,2013_6,Sweden,SWE,3,8,NA,NA,NA,NA,NA,7681.14,JRO,NA,NA,NA
2013-02-26,2013/ROS/10,2013_7,Austria,AUT,4,20,NA,NA,NA,NA,1,64558.87,JRO,NA,NA,NA
2013-02-26,2013/ROS/10,2013_7,France,FRA,2,5,NA,NA,NA,NA,NA,3465.23,JRO,NA,NA,NA
2013-02-26,2013/ROS/10,2013_7,Frontex,FX,NA,88,NA,NA,NA,NA,NA,1140.14,JRO,NA,NA,NA
2013-02-26,2013/ROS/10,2013_7,Germany,DEU,7,15,NA,NA,NA,NA,NA,21494.17,JRO,NA,NA,NA
2013-02-26,2013/ROS/10,2013_7,Greece,GRC,20,45,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2013-02-26,2013/ROS/10,2013_7,Sweden,SWE,1,3,NA,NA,NA,NA,NA,1625.17,JRO,NA,NA,NA
2013-03-05,2012/ROS/49,2013_8,Finland,FIN,10,17,NA,NA,NA,NA,NA,12115.5,JRO,NA,NA,NA
2013-03-05,2012/ROS/49,2013_8,France,FRA,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Cancelled,NA,NA
2013-03-05,2012/ROS/49,2013_8,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,2411.84,JRO,NA,NA,NA
2013-03-05,2012/ROS/49,2013_8,Germany,DEU,85,40,NA,NA,NA,NA,NA,127106.88,JRO,NA,NA,NA
2013-03-05,2012/ROS/49,2013_8,Sweden,SWE,17,30,NA,NA,NA,NA,NA,22329.22,JRO,NA,NA,NA
2013-03-13,2013/ROS/11,2013_9,France,FRA,3,7,NA,NA,NA,NA,NA,9344.05,JRO,NA,NA,NA
2013-03-13,2013/ROS/11,2013_9,Spain,ESP,95,144,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-01-16,2014/ROS/05,2014_1,Greece,GRC,5,11,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2014-01-16,2014/ROS/05,2014_1,Italy,ITA,32,87,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2014-01-16,2014/ROS/05,2014_1,Malta,MLT,5,13,NA,NA,NA,NA,NA,2331.37,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Austria,AUT,18,38,NA,NA,NA,NA,1,85224.25,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Finland,FIN,6,13,NA,NA,NA,NA,NA,5855.67,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,France,FRA,5,10,NA,NA,NA,NA,NA,6743.84,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Germany,DEU,4,8,NA,NA,NA,NA,NA,11373.73,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Hungary,HUN,5,9,NA,NA,NA,NA,NA,312.97,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Slovakia,SVK,2,4,NA,NA,NA,NA,NA,19.89,JRO,NA,NA,NA
2014-02-26,2014/ROS/07,2014_10,Sweden,SWE,5,7,NA,NA,NA,NA,NA,3356.08,JRO,NA,NA,NA
2014-03-17,2014/ROS/10,2014_11,Finland,FIN,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Cancelled,NA,NA
2014-03-17,2014/ROS/10,2014_11,France,FRA,2,5,NA,NA,NA,NA,NA,14232.06,JRO,NA,NA,NA
2014-03-17,2014/ROS/10,2014_11,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-17,2014/ROS/10,2014_11,Greece,GRC,25,64,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2014-03-17,2014/ROS/10,2014_11,Hungary,HUN,1,3,NA,NA,NA,NA,NA,786.87,JRO,NA,NA,NA
2014-03-17,2014/ROS/10,2014_11,Poland,POL,2,5,NA,NA,NA,NA,NA,958.29,JRO,NA,NA,NA
2014-03-17,2014/ROS/10,2014_11,Sweden,SWE,2,7,NA,NA,NA,NA,NA,32490.77,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Bulgaria,BGR,1,3,NA,NA,NA,NA,NA,841.56,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Denmark,DNK,1,3,NA,NA,NA,NA,NA,845.75,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Finland,FIN,3,10,NA,NA,NA,NA,NA,79929.94,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,France,FRA,3,7,NA,NA,NA,NA,NA,18511.06,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Germany,DEU,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Greece,GRC,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Italy,ITA,29,90,NA,NA,NA,NA,NA,230592.05,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Lithuania,LTU,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Norway,NOR,6,15,NA,NA,NA,NA,NA,45226.95,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Spain,ESP,2,10,NA,NA,NA,NA,NA,3002.54,JRO,NA,NA,NA
2014-03-19,2013/ROS/48,2014_12,Sweden,SWE,2,6,NA,NA,NA,NA,NA,4712.74,JRO,NA,NA,NA
2014-03-21,2013/ROS/49,2014_13,France,FRA,3,7,NA,NA,NA,NA,NA,4930.81,JRO,NA,NA,NA
2014-03-21,2013/ROS/49,2014_13,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-03-21,2013/ROS/49,2014_13,Germany,DEU,23,20,NA,NA,NA,NA,NA,1435.79,JRO,NA,NA,NA
2014-03-21,2013/ROS/49,2014_13,Spain,ESP,3,19,NA,NA,NA,NA,NA,159939.06,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,Finland,FIN,4,9,NA,NA,NA,NA,NA,3400.84,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,France,FRA,10,15,NA,NA,NA,NA,NA,6272.14,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,Germany,DEU,47,39,NA,NA,NA,NA,NA,53807.35,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,Spain,ESP,4,11,NA,NA,NA,NA,NA,78735.84,JRO,NA,NA,NA
2014-04-02,2013/ROS/50,2014_14,Sweden,SWE,9,16,NA,NA,NA,NA,NA,45430.52,JRO,NA,NA,NA
2014-04-15,2014/ROS/11,2014_15,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-04-15,2014/ROS/11,2014_15,Germany,DEU,63,NA,NA,NA,NA,NA,NA,30797.81,JRO,NA,NA,NA
2014-04-15,2014/ROS/11,2014_15,Sweden,SWE,2,NA,NA,NA,NA,NA,NA,11664.75,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Bulgaria,BGR,4,9,NA,NA,NA,NA,NA,3603.29,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,France,FRA,4,9,NA,NA,NA,NA,NA,6529.78,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Germany,DEU,2,8,NA,NA,NA,NA,NA,11479.31,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Hungary,HUN,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Cancelled,NA,NA
2014-04-16,2014/ROS/12,2014_16,Malta,MLT,4,17,NA,NA,NA,NA,NA,19790.4,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Netherlands,NLD,7,34,NA,NA,NA,NA,1,244322.87,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Norway,NOR,11,25,NA,NA,NA,NA,NA,39957.7,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Poland,POL,1,3,NA,NA,NA,NA,NA,1440.05,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Romania,ROU,1,5,NA,NA,NA,NA,NA,1749.86,JRO,NA,NA,NA
2014-04-16,2014/ROS/12,2014_16,Slovakia,SVK,NA,NA,NA,NA,NA,NA,NA,NA,JRO,Cancelled,NA,NA
2014-04-16,2014/ROS/12,2014_16,Spain,ESP,5,12,NA,NA,NA,NA,NA,NA,JRO,Stopover,NA,NA
2014-04-16,2014/ROS/12,2014_16,Sweden,SWE,4,13,NA,NA,NA,NA,NA,4340.47,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Austria,AUT,6,33,NA,NA,NA,NA,1,78187.04,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Finland,FIN,6,14,NA,NA,NA,NA,NA,21362.24,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,France,FRA,5,11,NA,NA,NA,NA,NA,9312.7,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Germany,DEU,18,17,NA,NA,NA,NA,NA,24635.4,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Hungary,HUN,30,33,NA,NA,NA,NA,NA,710.36,JRO,NA,NA,NA
2014-04-29,2014/ROS/13,2014_17,Sweden,SWE,6,8,NA,NA,NA,NA,NA,5917.14,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Bulgaria,BGR,1,3,NA,NA,NA,NA,NA,849.08,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,France,FRA,4,9,NA,NA,NA,NA,NA,8062.26,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Germany,DEU,2,7,NA,NA,NA,NA,NA,2935.08,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Italy,ITA,26,80,NA,NA,NA,NA,NA,239548.08,JRO,Advanced Party,NA,NA
2014-05-14,2014/ROS/16,2014_18,Malta,MLT,3,11,NA,NA,NA,NA,NA,2567.38,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Norway,NOR,12,27,NA,NA,NA,NA,NA,59975.37,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Portugal,PRT,1,3,NA,NA,NA,NA,NA,2204.59,JRO,NA,NA,NA
2014-05-14,2014/ROS/16,2014_18,Switzerland,CHE,1,3,NA,NA,NA,NA,1,12565.94,JRO,NA,NA,NA
2014-05-27,2014/ROS/17,2014_19,Belgium,BEL,16,52,NA,NA,NA,NA,3,NA,JRO,Return Fund,NA,NA
2014-05-27,2014/ROS/17,2014_19,France,FRA,3,7,NA,NA,NA,NA,NA,6594.69,JRO,NA,NA,NA
2014-05-27,2014/ROS/17,2014_19,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2014-05-27,2014/ROS/17,2014_19,Luxembourg,LUX,1,5,NA,NA,NA,NA,1,702.19,JRO,NA,NA,NA
2014-01-19,2014/ROS/06,2014_2,Greece,GRC,34,89,NA,NA,NA,NA,NA,NA,JRO,Return Fund,NA,NA
2014-01-19,2014/ROS/06,2014_2,Spain,ESP,7,17,NA,NA,NA,NA,NA,55950.04,JRO,NA,NA,NA
2014-06-03,2014/ROS/18,2014_20,Sweden,SWE,4,21,NA,NA,NA,NA,NA,105753.1,JRO,NA,NA,NA
2014-06-03,2014/ROS/19,2014_20,Norway,NOR,9,13,NA,NA,NA,NA,NA,35009.32,JRO,NA,NA,NA
2014-06-03,2014/ROS/20,2014_20,Germany,DEU,2,3,NA,NA,NA,NA,NA,10343.37,JRO,NA,NA,NA
2014-06-03,2014/ROS/21,2014_20,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,69790.45,JRO,NA,NA,NA
2014-06-03,2014/ROS/21,2014_20,Hungary,HUN,29,31,NA,NA,NA,NA,1,871.7,JRO,NA,NA,NA
2014-06-05,RO-2014-021,2014_21,Albania,ALB,NA,32,NA,NA,NA,NA,NA,1210,CRO,NA,NA,NA
2014-06-05,RO-2014-021,2014_21,Belgium,BEL,9,NA,NA,NA,NA,NA,1,NA,CRO,NA,NA,NA
