YEAR,DEST,Germany,Italy,France,Spain,Austria,Sweden,Greece,Belgium,Poland,Hungary,Iceland,Finland,Norway,United Kingdom,Ireland,Switzerland,Netherlands,Cyprus,Luxembourg,Bulgaria,Malta,Romania,Denmark,Lithuania,Czech Republic,Portugal,Slovakia,Slovenia,Latvia,Croatia,Estonia
2018,Georgia,803,0,34,42,117,4,15,7,0,0,36,2,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,Georgia,751,8,141,113,48,16,0,2,0,0,10,0,0,0,12,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020,Georgia,780,33,411,36,84,14,34,0,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Georgia,926,37,63,67,35,15,36,0,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0
2022,Georgia,740,53,100,59,13,51,20,5,0,0,0,8,0,0,0,0,0,0,5,0,0,0,17,0,1,0,0,0,0,0,0
2023,Georgia,1189,43,56,78,10,21,100,3,70,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,1,0,0,0,1,0,0
2024,Georgia,1571,47,122,58,4,12,102,3,55,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,2,0,1,0,0,0,0
2007,Ghana,2,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ghana,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2016,Ghana,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Ghana,4,0,0,0,0,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Ghana,104,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Ghana,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Ghana,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ghana,162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Ghana,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2023,Ghana,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Ghana,91,0,0,11,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Guinea,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Guinea,1,0,0,24,0,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Guinea,3,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Guinea,9,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Guinea,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021,Guinea,78,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Guinea,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Guinea,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,India,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,India,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,India,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Iraq,0,0,0,0,0,90,0,0,0,0,0,0,26,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Iraq,0,0,0,0,0,71,0,0,0,0,0,8,34,8,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2016,Iraq,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Iraq,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Iraq,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,Iraq,52,0,14,0,0,0,0,3,0,0,0,5,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,Iraq,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Iraq,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Iraq,62,0,0,0,22,52,0,0,8,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Iraq,523,0,0,0,48,53,0,5,0,0,3,25,13,0,0,23,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0
2019,Kenya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kenya,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Kosovo,0,0,6,0,20,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Kosovo,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Kosovo,6,0,21,0,110,18,0,0,0,21,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Kosovo,148,0,16,0,265,36,0,0,2,1,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011,Kosovo,181,0,10,0,85,25,0,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2012,Kosovo,168,0,2,0,52,42,0,0,0,37,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2013,Kosovo,51,0,6,0,33,35,0,0,0,18,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Kosovo,67,0,19,0,69,28,0,0,0,287,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2015,Kosovo,653,0,37,0,306,35,0,4,0,365,1,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0
2016,Kosovo,2035,0,3,0,141,36,0,13,0,65,4,33,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0
2017,Kosovo,1634,0,0,0,65,35,0,10,0,7,1,9,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2018,Kosovo,711,0,13,0,32,14,0,0,0,1,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,Kosovo,368,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Kosovo,142,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021,Kosovo,259,0,13,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kosovo,137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Kosovo,147,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kosovo,319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kyrgyzstan,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kyrgyzstan,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Lebanon,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lebanon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Lebanon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2017,Mali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Mauritania,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mauritania,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mauritania,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Mauritania,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Moldova,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Moldova,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Moldova,313,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Moldova,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Moldova,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Moldova,465,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Moldova,484,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Moldova,922,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Moldova,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,Mongolia,0,0,0,0,0,35,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Mongolia,0,0,0,0,6,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,Mongolia,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mongolia,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Mongolia,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Montenegro,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Montenegro,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2018,Montenegro,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Montenegro,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Montenegro,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Montenegro,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Montenegro,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Montenegro,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Montenegro,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Nigeria,4,80,1,3,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,Nigeria,21,41,12,31,8,2,0,5,5,0,0,0,0,42,22,19,44,0,6,0,0,0,0,0,0,0,2,0,0,0,0
2009,Nigeria,54,131,14,47,60,12,14,4,12,3,0,2,27,129,208,46,44,3,7,0,5,1,0,0,3,0,1,1,1,0,0
2010,Nigeria,48,85,12,50,108,8,66,5,7,11,0,6,38,125,111,0,25,2,5,0,16,0,0,0,2,0,0,2,0,0,0
2011,Nigeria,39,104,17,110,63,23,18,9,7,5,0,30,96,77,87,25,30,0,1,0,12,0,6,0,1,12,0,0,0,0,0
2012,Nigeria,39,132,17,42,57,15,17,0,4,1,0,8,55,0,65,0,24,0,2,2,24,2,0,0,1,2,0,0,0,0,0
2013,Nigeria,33,149,8,56,35,14,28,0,0,5,0,12,37,42,20,0,19,0,0,36,2,2,5,0,0,3,0,2,0,0,0
2014,Nigeria,8,119,13,26,3,11,13,2,2,0,1,13,83,41,0,7,13,0,0,16,16,1,13,1,0,3,1,0,0,0,0
2015,Nigeria,18,221,6,58,11,8,11,7,3,2,0,2,73,0,10,27,15,0,8,3,9,3,5,0,1,0,0,0,0,0,1
2016,Nigeria,16,151,2,19,37,14,12,19,2,20,0,0,36,0,0,45,16,0,0,0,4,0,4,1,0,1,1,0,0,0,0
2017,Nigeria,85,225,3,43,111,14,2,11,3,22,2,15,23,0,0,30,10,0,6,0,0,0,11,0,2,0,0,0,0,0,0
2018,Nigeria,113,149,3,25,169,7,1,20,0,7,1,9,13,0,0,13,4,0,9,4,0,0,0,2,0,0,0,1,0,0,0
2019,Nigeria,331,313,11,2,195,12,1,1,1,6,0,2,3,0,0,13,0,0,5,7,0,2,2,0,3,1,0,0,0,0,0
2020,Nigeria,83,30,0,0,71,4,1,2,2,4,0,0,1,0,0,0,8,0,7,1,0,1,0,0,0,0,1,0,0,0,0
2021,Nigeria,194,51,0,12,81,0,0,0,1,7,0,0,5,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0
2022,Nigeria,263,95,0,6,53,43,0,0,3,4,0,0,0,0,0,6,6,8,0,1,0,0,3,8,1,0,0,0,0,0,0
2023,Nigeria,288,143,0,8,35,82,0,6,0,1,0,0,0,0,0,0,0,15,2,0,0,0,0,5,0,0,0,0,1,0,0
2024,Nigeria,315,163,0,5,35,59,0,2,1,1,5,2,0,0,0,0,0,5,6,0,1,0,0,1,1,2,0,1,0,0,0
2013,North Macedonia,44,0,0,1,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,North Macedonia,109,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,North Macedonia,132,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,North Macedonia,640,0,0,0,7,3,0,9,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,North Macedonia,934,0,0,0,29,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,North Macedonia,687,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,North Macedonia,334,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2020,North Macedonia,245,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,North Macedonia,211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,North Macedonia,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,North Macedonia,952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,North Macedonia,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Pakistan,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Pakistan,2,4,25,40,0,0,5,0,0,0,0,0,0,18,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,Pakistan,0,0,3,29,0,0,0,0,0,0,0,0,11,25,13,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
2012,Pakistan,0,0,5,26,0,2,2,0,4,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,Pakistan,1,0,4,37,0,4,31,4,3,3,0,2,11,0,7,1,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0
2014,Pakistan,0,0,6,40,0,9,140,2,3,1,0,0,0,0,0,0,0,0,0,13,2,0,0,3,0,0,0,0,0,0,0
2015,Pakistan,0,0,0,17,17,0,13,0,3,0,0,0,0,0,0,4,4,0,0,43,0,0,0,0,0,1,0,0,0,0,0
2016,Pakistan,27,0,0,0,31,6,133,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2017,Pakistan,94,5,2,0,59,8,139,23,6,35,0,2,0,0,0,2,0,0,0,8,0,1,0,2,0,0,7,2,0,0,0
2018,Pakistan,277,2,0,0,36,15,46,2,6,7,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2019,Pakistan,355,14,3,0,31,9,22,0,2,1,0,6,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Pakistan,225,0,0,0,20,3,61,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Pakistan,408,0,0,0,26,1,107,0,2,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0
2022,Pakistan,239,0,0,0,5,0,25,0,0,1,0,0,0,0,0,1,0,11,0,1,0,0,0,0,2,0,3,0,0,0,0
2023,Pakistan,176,15,0,15,13,0,282,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,4,0,0,2,0,0,0
2024,Pakistan,118,14,0,22,3,0,194,0,0,0,0,0,0,0,0,0,0,58,0,0,0,10,0,0,0,0,0,0,0,0,0
2017,Peru,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Peru,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Peru,0,0,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Peru,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Peru,0,4,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Russia,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Russia,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Russia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,Russia,50,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Russia,192,0,0,0,90,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Russia,316,0,0,0,28,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Russia,41,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Russia,222,0,0,0,42,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,Russia,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Senegal,3,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Senegal,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Senegal,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Senegal,11,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Senegal,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Serbia,160,0,6,0,0,14,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Serbia,405,3,8,0,0,126,0,5,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2013,Serbia,299,0,2,7,0,103,0,0,0,0,1,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Serbia,213,0,2,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2015,Serbia,275,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2016,Serbia,1409,0,0,2,0,45,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,Serbia,1723,0,0,0,28,0,0,15,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2018,Serbia,999,0,4,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Serbia,569,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Serbia,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Serbia,446,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Serbia,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Serbia,639,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Serbia,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Sierra Leone,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2018,Somalia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Somalia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sri Lanka,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2017,Sri Lanka,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2018,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Sri Lanka,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2016,Sudan,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Sudan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Syria,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Tajikistan,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Tajikistan,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Togo,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,Togo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Togo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Togo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Togo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
